*Number-of-Occurences Normalized-Frequency Ngram
11 0.00329 ((0,0),(0,1),(0,0),(0,2),(0,-1),(0,2),(0,-1),(0,1),(0,0),(0,1))
11 0.00329 ((0,1),(0,0),(0,2),(0,-1),(0,2),(0,-1),(0,1),(0,0),(0,1),(0,0))
11 0.00329 ((0,0),(2,0),(0,0),(-7,0),(0,0),(5,0),(0,0),(0,0),(0,0),(2,0))
11 0.00329 ((2,0),(0,0),(-7,0),(0,0),(5,0),(0,0),(0,0),(0,0),(2,0),(0,0))
10 0.00299 ((0,0),(0,2),(0,-1),(0,2),(0,-1),(0,1),(0,0),(0,1),(0,0),(0,2))
10 0.00299 ((0,2),(0,-1),(0,2),(0,-1),(0,1),(0,0),(0,1),(0,0),(0,2),(0,-1))
10 0.00299 ((0,0),(0,0),(2,0),(0,0),(-7,0),(0,0),(5,0),(0,0),(0,0),(0,0))
8 0.00239 ((0,0),(-7,0),(0,0),(5,0),(0,0),(0,0),(0,0),(2,0),(0,0),(-7,0))
8 0.00239 ((-7,0),(0,0),(5,0),(0,0),(0,0),(0,0),(2,0),(0,0),(-7,0),(0,0))
8 0.00239 ((5,0),(0,0),(0,0),(0,0),(2,0),(0,0),(-7,0),(0,0),(5,0),(0,0))
8 0.00239 ((0,0),(5,0),(0,0),(0,0),(0,0),(2,0),(0,0),(-7,0),(0,0),(5,0))
8 0.00239 ((0,0),(0,0),(0,0),(2,0),(0,0),(-7,0),(0,0),(5,0),(0,0),(0,0))
7 0.00209 ((0,0),(0,2),(0,-1),(0,1),(0,0),(0,1),(0,0),(0,2),(0,-1),(0,2))
7 0.00209 ((0,-1),(0,2),(0,-1),(0,1),(0,0),(0,1),(0,0),(0,2),(0,-1),(0,2))
6 0.00179 ((0,1),(0,0),(0,0),(0,1),(0,0),(0,1),(0,0),(0,0),(0,1),(0,0))
6 0.00179 ((0,0),(0,1),(0,0),(0,0),(0,1),(0,0),(0,1),(0,0),(0,0),(0,1))
6 0.00179 ((0,0),(0,0),(0,1),(0,0),(0,1),(0,0),(0,0),(0,1),(0,0),(0,0))
